"License Number","Business Name","DBA/Trade Name","Business Unique ID","Business Category","License Type","License Status","Initial Issuance Date","Expiration Date","Details","Contact Phone","Address Type","Building Number","Street1","Street2","Street3","Unit Type","Apt/Suite","City","State","ZIP Code","Borough","Community Board","Council District","BIN","BBL","NTA","Census Block (2010)","Census Tract (2010)","Latitude","Longitude"
"1130189-DCA","JEFFREY ALTMAN",,"BA-1329650-2022","Sightseeing Guide","Individual","Active","01/10/2003","03/31/2026",,,,,,,,,,"BROOKLYN","NY","11229",,,,,,,,,,
"0869594-DCA","KEVIN CONNORS",,"BA-1329653-2022","Locksmith","Individual","Expired","05/19/1997","05/31/2023",,,,,,,,,,"BROOKLYN","NY","11234",,,,,,,,,,
"2098943-DCA","ALTER PHASE CONTRACTING INC",,"BA-1106886-2022","Home Improvement Contractor","Premises","Expired","05/26/2021","02/28/2025",,"9293701552","Complete Address","61","APPLEBY AVE",,,,,"STATEN ISLAND","NY","10305","Staten Island","502","50","5106001","5033940024","SI36","1023","70","40.59146","-74.079555"
"2105462-DCA","JEFFREY KAUFMAN",,"BA-1330017-2022","Sightseeing Guide","Individual","Active","04/21/2022","03/31/2026",,,,,,,,,,"GLENDALE","NY","11385",,,,,,,,,,
"1212490-DCA","JARED B GOLDSTEIN",,"BA-1330020-2022","Sightseeing Guide","Individual","Active","07/11/2006","03/31/2026",,,,,,,,,,"NEW YORK","NY","10009",,,,,,,,,,
"1032113-DCA","GEORGE GREZA",,"BA-1330211-2022","Sightseeing Guide","Individual","Active","04/24/2000","03/31/2026",,,,,,,,,,"DOYLESTOWN","PA","18902",,,,,,,,,,
"1353713-DCA","KAREN BRUECKNER",,"BA-1330223-2022","Sightseeing Guide","Individual","Active","05/11/2010","03/31/2026",,,,,,,,,,"NEW YORK","NY","10016",,,,,,,,,,
"2110890-DCA","1ST HVAC & APPLIANCES INC",,"BA-1568034-2023","Electronic & Home Appliance Service Dealer","Premises","Expired","02/03/2023","06/30/2024",,"9173532992","Complete Address","8617","5TH AVE",,,,,"BROOKLYN","NY","11209","Brooklyn","310","47","3153778","3060510015","BK31","4001","160","40.62132","-74.026350"
"2052185-DCA","JAYME RIBEIRO",,"BA-1330556-2022","Sightseeing Guide","Individual","Active","05/01/2017","03/31/2026",,,,,,,,,,"NEW YORK","NY","10019",,,,,,,,,,
"1380061-DCA","JAMES M M SANGENITO",,"BA-1330568-2022","Sightseeing Guide","Individual","Active","01/05/2011","03/31/2026",,,,,,,,,,"NEW YORK","NY","10009",,,,,,,,,,
"1466051-DCA","FIRST PARKING SYSTEMS, CORP",,"BA-1207230-2022","Garage & Parking Lot","Premises","Active","05/30/2013","03/31/2027","Vehicle Capacity: 36; Bicycle Capacity: 0","3476566637","Complete Address","9010","SUTPHIN BLVD",,,,,"JAMAICA","NY","11435","Queens","412","27","4206750","4096760022","QN61","1001","240","40.70263","-73.808291"
"1461978-DCA","SANTA I. CONTRACTING CORP.",,"BA-1735325-2025","Home Improvement Contractor","Premises","Active","04/09/2013","02/28/2027",,"914-497-2959","Complete Address","3252","103RD ST",,,,,"EAST ELMHURST","NY","11369","Queens","403","21","4000000","4016970033","QN27","2003","365","40.75851","-73.865845"
"2092147-DCA","John Barber",,"BA-1330754-2022","Sightseeing Guide","Individual","Active","11/12/2019","03/31/2026",,,,,,,,,,"NEW YORK","NY","10001",,,,,,,,,,
"1280159-DCA","JOHN Joseph GALLAGHER",,"BA-1330758-2022","Sightseeing Guide","Individual","Active","03/25/2008","03/31/2026",,,,,,,,,,"BROOKLYN","NY","11205",,,,,,,,,,
"1424998-DCA","KURT F KINGSLEY",,"BA-1330768-2022","Sightseeing Guide","Individual","Active","04/23/2012","03/31/2026",,,,,,,,,,"SUNNYSIDE","NY","11104",,,,,,,,,,
"1418972-DCA","LUIS GUZMAN",,"BA-1330771-2022","Sightseeing Guide","Individual","Active","02/09/2012","03/31/2026",,,,,,,,,,"CHEVERLY","MD","20785",,,,,,,,,,
"2125589-DCWP","Gear Grabber LLC",,"BA-1715712-2024","Electronics Store","Premises","Voided","12/03/2024","12/31/2026",,"9173514309","Complete Address","3013","STEINWAY ST",,,,,"ASTORIA","NY","11103","Queens","401","22","4011252","4006800044","QN70","2000","149","40.76328","-73.915478"
"2122441-DCWP","1936 SUPPLY LLC",,"BA-1700316-2024","Dealer In Products For The Disabled","Premises","Expired","06/24/2024","03/15/2025",,"3473592589","Complete Address","475","W MERRICK RD",,,,,"VALLEY STREAM","NY","11580","Manhattan",,,,,,,,,
"1293689-DCA","HUA CHENG CONSTRUCTION, INC.",,"BA-1308497-2022","Home Improvement Contractor","Premises","Expired","07/28/2008","02/28/2023",,"7188880171","Complete Address","13235","SANFORD AVE",,,"APT","617","FLUSHING","NY","11355","Queens","407","20","4114213","4050407502","QN22","1001","849","40.75512","-73.832114"
"2123419-DCWP","R & W CONSTRUCTION NY ,LLC",,"BA-1698823-2024","Home Improvement Contractor","Premises","Active","08/08/2024","02/28/2027",,"8455988575","Complete Address","72","S BROADWAY",,,"APT","2","NYACK","NY","10960","Outside NYC",,,,,,,,,
"2104775-DCA","Bulson Management LLC",,"BA-1233068-2022","Home Improvement Contractor","Premises","Expired","03/28/2022","02/28/2023",,"2124600028","Complete Address","111","EAST   14 STREET",,,,,"NEW YORK","NY","10003","Manhattan","105","2","1083247","1008707501","MN21","3002","50","40.73424","-73.989428"
"0969455-DCA","RAYMOND'S CARS INC.",,"BA-1547217-2022","Secondhand Dealer - Auto","Premises","Active","07/07/2005","07/31/2027",,"7186992425","Complete Address","9323","CORONA AVE",,,,,"ELMHURST","NY","11373","Queens","404","25","4039966","4016000080","QN29","2002","463","40.74241","-73.871085"
"0652841-DCA","GEORGE R MARIE",,"BA-1332161-2022","Locksmith","Individual","Surrendered","04/22/2003","05/31/2023",,,,,,,,,,"BETHLEHEM","PA","18017",,,,,,,,,,
"2067618-DCA","JESSE RIFKIN",,"BA-1332363-2022","Sightseeing Guide","Individual","Active","03/12/2018","03/31/2026",,,,,,,,,,"BROOKLYN","NY","11222",,,,,,,,,,
"2054110-2-DCA","WINSOME DELI INC",,"BA-1552915-2022","Tobacco Retail Dealer","Premises","Expired","06/07/2017","12/31/2022",,"313-455-9864","Complete Address","482","LENOX AVE",,,,,"NEW YORK","NY","10037","Manhattan","110","9","1053897","1017300068","MN03","4002","212","40.81327","-73.941458"
"1368985-DCA","GUNILLA LINDBLAD-ZACHARIASEN",,"BA-1332420-2022","Sightseeing Guide","Individual","Active","09/01/2010","03/31/2026",,,,,,,,,,"WEST DES MOINES","IA","50266",,,,,,,,,,
"2104533-DCA","Husam Gad",,"BA-1332751-2022","Process Server Individual","Individual","Expired","03/17/2022","02/28/2024",,,,,,,,,,"BROOKLYN","NY","11214",,,,,,,,,,
"2006121-DCA","G & J LEADING CONSTRUCTION INC",,"BA-1166914-2022","Home Improvement Contractor","Premises","Active","04/11/2014","02/28/2027",,"6466000558","Complete Address","1738","CROTONA PARK",,,"APT","3A","BRONX","NY","10460","Bronx","203","15","2000000","2029420001","BX99","1001","163","40.83799","-73.895272"
"2107423-DCA","JAMES J ACCETTA",,"BA-1332831-2022","Sightseeing Guide","Individual","Active","07/13/2022","03/31/2026",,,,,,,,,,"BROOKLYN","NY","11215",,,,,,,,,,
"2088893-DCA","TT & T CONSTRUCTION INC",,"BA-1551281-2022","Home Improvement Contractor","Premises","Expired","07/30/2019","02/28/2023",,"6465124826","Complete Address","3005","STRATTON ST",,,,,"FLUSHING","NY","11354","Queens","407","20","4100747","4043690001","QN22","2001","869","40.76984","-73.834785"
"0845652-DCA","WOO I KYUNG",,"BA-1533153-2022","Locksmith","Individual","Active","05/13/2003","05/31/2027",,,,,,,,,,"ASTORIA","NY","11106",,,,,,,,,,
"2034022-DCA","DIRECT FENCE DISTRIBUTORS, LLC",,"BA-1208165-2022","Home Improvement Contractor","Premises","Active","03/07/2016","02/28/2027",,"201-438-8700","Complete Address","773","WASHINGTON AVE",,,,,"CARLSTADT","NJ","07072",,,,,,,,,,
"2090332-DCA","WRECK-IT NYC II INC",,"BA-1540221-2022","Home Improvement Contractor","Premises","Expired","09/09/2019","02/28/2023",,"7185171600","Complete Address","6506","FRESH POND RD",,,,,"RIDGEWOOD","NY","11385","Queens","405","30","4084782","4035260067","QN20","2008","593","40.70956","-73.898828"
"2127500-DCWP","Ferdi Aydemir",,"BA-1723640-2025","Pedicab Driver","Individual","Active","03/31/2025","04/30/2026",,,,,,,,,,"WEST NEW YORK","NJ","07093",,,,,,,,,,
"2098112-DCA","G.D.L.L. CONSTRUCTION CORP",,"BA-1216286-2022","Home Improvement Contractor","Premises","Active","03/18/2021","02/28/2027",,"9292559266","Complete Address","2929","BRIGGS AVE",,,"APT","5A","BRONX","NY","10458","Bronx","207","11","2016945","2032970049","BX05","4000","40702","40.87046","-73.886782"
"2054602-DCA","WELLBUILT INTERIORS & DESIGNS LLC",,"BA-1518464-2022","Home Improvement Contractor","Premises","Expired","06/19/2017","02/28/2023",,"718-562-3642","Complete Address","328","E 198TH ST",,,,,"BRONX","NY","10458","Bronx","207","15","2016679","2032890026","BX05","6001","40502","40.86770","-73.887423"
"1143502-DCA","HUGO M MOGROVEJO",,"BA-1333507-2022","Locksmith","Individual","Expired","06/23/2003","05/31/2023",,,,,,,,,,"JAMAICA","NY","11435",,,,,,,,,,
"2117800-DCWP","ABDURRAHIM YAGMAHAN",,"BA-1678750-2023","Pedicab Driver","Individual","Expired","11/21/2023","04/30/2025",,,,,,,,,,"WEEHAWKEN","NJ","07086",,,,,,,,,,
"2069304-DCA","ZEE BUILDERS INC.",,"BA-1545188-2022","Home Improvement Contractor","Premises","Active","04/11/2018","02/28/2027",,"9293662006","Complete Address","1562","OCEAN AVE",,,"APT","4A","BROOKLYN","NY","11230","Brooklyn","314","44","3180187","3067210082","BK43","2002","762","40.62416","-73.956105"
"1160454-DCA","JOYCE WEINBERG",,"BA-1346466-2022","Sightseeing Guide","Individual","Active","02/19/2004","03/31/2026",,,,,,,,,,"NEW YORK","NY","10065",,,,,,,,,,
"2119865-2-DCWP","85TH SMOKE SHOP LLC",,"BA-1686301-2024","Electronic Cigarette Dealer","Premises","Ready for Renewal","03/19/2024","11/30/2025",,"3475714874","Complete Address","8501","85TH ST",,,,,"JAMAICA","NY","11421","Queens","409","32","4181934","4088640040","QN53","1001","12","40.69589","-73.860013"
"2125944-DCWP","QP HOSP LLC",,"BA-1717580-2024","Garage & Parking Lot","Premises","Active","12/27/2024","03/31/2027","Vehicle Capacity: 1344; Bicycle Capacity: 31","8777275464","Complete Address","1260","WATERS PL",,,,,"BRONX","NY","10461","Bronx","211","13","2113980","2042260040","BX37","1010","284","40.84327","-73.838976"
"2052573-DCA","SEKOU CAMARA",,"BA-1540554-2022","Pedicab Driver","Individual","Expired","05/05/2017","04/30/2024",,,,,,,,,,"BROOKLYN","NY","11238",,,,,,,,,,
"2128854-DCWP","The Bowery Hotel, LLC",,"BA-1730719-2025","Hotel","Premises","Active","05/22/2025","09/30/2026",,"(917) 771-1999","Complete Address","335","BOWERY",,,,,"NEW YORK","NY","10003","Manhattan","103","2","1006545","1004580006","MN22","2000","3602","40.72605","-73.991908"
"2084434-DCA","THOMAS G NIBLOCK",,"BA-1556314-2022","Tow Truck Driver","Individual","Active","04/09/2019","10/31/2026",,,,,,,,,,"HOWARD BEACH","NY","11414",,,,,,,,,,
"2093532-DCA","INFO WIRELESS INC.",,"BA-1325189-2022","Electronics Store","Premises","Expired","01/13/2020","12/31/2024",,"9174807387","Complete Address","16408","JAMAICA AVE",,,,,"JAMAICA","NY","11432","Queens","412","27","4216206","4101510024","QN61","2004","44601","40.70521","-73.795520"
"2045903-DCA","INTERNATIONAL FLOWER SHOP INC.",,"BA-1278360-2022","Stoop Line Stand","Premises","Active","11/25/2016","03/31/2026","Product Category: Fruits, Vegetables, Flowers, Soft Drinks, Confectionary and Ice Cream; 4 foot stands: 1; 5 foot stands: 0; 5-10 foot stands: 0","7186062573","Complete Address","4220","JUNCTION BLVD",,,,,"CORONA","NY","11368","Queens","404","21","4039921","4015990049","QN29","1006","465","40.74610","-73.868223"
"1329814-DCA","RJ BUILDER NY INC.",,"BA-1486004-2022","Home Improvement Contractor","Premises","Active","08/20/2009","02/28/2027",,"9179292301","Complete Address","16","MILLERS LN",,,,,"NEW HYDE PARK","NY","11040","Queens","403","21","4000000","4200259999","QN27","1009","357","40.76648","-73.875778"
"2121255-DCWP","LESGOLD, LLC",,"BA-1688430-2024","Home Improvement Contractor","Premises","Active","05/09/2024","02/28/2027",,"7182533484","Complete Address","1222","AVENUE M",,,,,"BROOKLYN","NY","11230","Brooklyn","314","44","3180783","3067410006","BK43","2004","768","40.61770","-73.962525"
"2101064-DCA","Jason Antos",,"BA-1334769-2022","Sightseeing Guide","Individual","Active","08/24/2021","03/31/2026",,,,,,,,,,"WHITESTONE","NY","11357",,,,,,,,,,
"2033342-DCA","Janet Poss",,"BA-1335067-2022","Sightseeing Guide","Individual","Expired","02/17/2016","03/31/2024",,,,,,,,,,"CUMMING","GA","30040",,,,,,,,,,
"2112663-DCA","DILDOR FAIZIBOEV",,"BA-1584236-2023","Pedicab Driver","Individual","Expired","04/20/2023","04/30/2024",,,,,,,,,,"Jersey City","NJ","07306",,,,,,,,,,
"1221172-DCA","3 FRIENDLY GROCERY & DELI INC.",,"BA-1114316-2022","Tobacco Retail Dealer","Premises","Expired","03/16/2006","12/31/2022",,"718-361-5998","Complete Address","2726","QUEENS PLZ",,,,,"LONG ISLAND CITY","NY","11101","Queens","402","26","4005054","4004220021","QN31","1029","19","40.75005","-73.939568"
"0993698-DCA","GISELA SCHMITT",,"BA-1335669-2022","Sightseeing Guide","Individual","Active","08/25/1998","03/31/2026",,,,,,,,,,"BROOKLYN","NY","11209",,,,,,,,,,
"1195514-DCA","JUAN J AVILES",,"BA-1335863-2022","Sightseeing Guide","Individual","Active","05/03/2005","03/31/2026",,,,,,,,,,"BROOKLYN","NY","11201",,,,,,,,,,
"2072045-DCA","Kenneth Coremans",,"BA-1336098-2022","Sightseeing Guide","Individual","Active","05/29/2018","03/31/2026",,,,,,,,,,"NEW YORK","NY","10025",,,,,,,,,,
"1465438-DCA","JOHN ARCHDEACON",,"BA-1336119-2022","Sightseeing Guide","Individual","Active","05/22/2013","03/31/2026",,,,,,,,,,"SIDNEY CENTER","NY","13839",,,,,,,,,,
"2108811-DCA","Joseph S Knipper",,"BA-1336148-2022","Sightseeing Guide","Individual","Active","09/14/2022","03/31/2026",,,,,,,,,,"BRONX","NY","10458",,,,,,,,,,
"1373274-DCA","JOHN C CIRINCION",,"BA-1336111-2022","Sightseeing Guide","Individual","Active","10/05/2010","03/31/2026",,,,,,,,,,"NEW YORK","NY","10003",,,,,,,,,,
"1423735-DCA","JONNA E SONNENBERG",,"BA-1335570-2022","Tow Truck Driver","Individual","Active","04/02/2012","10/31/2026",,,,,,,,,,"HOWARD BEACH","NY","11414",,,,,,,,,,
"2108623-DCA","Gregory McKnight",,"BA-1336506-2022","Sightseeing Guide","Individual","Expired","09/07/2022","03/31/2024",,,,,,,,,,"BROOKLYN","NY","11237",,,,,,,,,,
"2072673-1-DCA","87TH ROAD MINI MARKET INC",,"BA-1130594-2022","Electronic Cigarette Dealer","Premises","Active","06/05/2018","11/30/2027",,"718-206-1145","Complete Address","14403","87 ROAD",,,,,"JAMAICA","NY","11435","Queens","408","24","4207354","4097030001","QN35","3006","232","40.70606","-73.811614"
"2124526-DCWP","Alexander Yuille Elmaleh",,"BA-1708948-2024","Sightseeing Guide","Individual","Active","09/27/2024","03/31/2026",,,,,,,,,,"LONG ISLAND CITY","NY","11101",,,,,,,,,,
"1084494-DCA","JESSICA R. KRATZ",,"BA-1336587-2022","Sightseeing Guide","Individual","Active","06/18/2001","03/31/2026",,,,,,,,,,"STATEN ISLAND","NY","10312",,,,,,,,,,
"2130900-DCWP","Robert Hovell",,"BA-1744769-2025","Locksmith","Individual","Active","09/02/2025","05/31/2027",,,,,,,,,,"EAST NORTHPORT","NY","11731",,,,,,,,,,
"2130025-1-DCWP","VILLAGE BITES CORP.",,"BA-1731896-2025","Tobacco Retail Dealer","Premises","Active","07/18/2025","12/31/2026",,"9173857396","Complete Address","208","AVENUE A",,,,,"NEW YORK","NY","10009","Manhattan","103","2","1005203","1004060008","MN22","1001","34","40.72962","-73.980917"
"1428467-DCA","JANE COWAN",,"BA-1336770-2022","Sightseeing Guide","Individual","Active","05/16/2012","03/31/2026",,,,,,,,,,"BROOKLYN","NY","11234",,,,,,,,,,
"2126247-DCWP","UNIFIN INC.",,"BA-1612369-2023","Debt Collection Agency","Premises","Active","01/09/2025","01/31/2027",,"8472500041","Complete Address","5996","W TOUHY AVE",,,"STE","2000","NILES","IL","60714","Outside NYC",,,,,,,,,
"1266100-DCA","GREGG ZUMAN",,"BA-1336794-2022","Pedicab Driver","Individual","Expired","05/05/2012","04/30/2024",,,,,,,,,,"BEACON","NY","12508",,,,,,,,,,
"2068855-DCA","GREGORY BOONE",,"BA-1337034-2022","Process Server Individual","Individual","Expired","04/04/2018","02/28/2024",,,,,,,,,,"BRONX","NY","10475",,,,,,,,,,
"2033579-1-DCA","NIMRAN DELI CORP",,"BA-1455047-2022","Tobacco Retail Dealer","Premises","Revoked","02/23/2016","12/31/2023",,"718-262-8733","Complete Address","17023","JAMAICA AVE",,,,,"JAMAICA","NY","11432","Queens","412","27","4209735","4098040001","QN61","3006","462","40.70730","-73.789313"
"2129675-DCWP","CA HOSPITALITY LLC",,"BA-1737183-2025","Hotel","Premises","Surrendered","06/30/2025","09/30/2026",,"(917) 608-9417","Complete Address","79","DIVISION ST",,,,,"NEW YORK","NY","10002","Manhattan","103","1","1084614","1002820080","MN27","6002","8","40.71430","-73.993723"
"2011668-DCA","FINE CRAFTSMAN GROUP LLC",,"BA-1206929-2022","Home Improvement Contractor","Premises","Active","08/06/2014","02/28/2027",,"7188945372","Complete Address","7406","METROPOLITAN AVENUE",,,"APT","NA","MIDDLE VILLAGE","NY","11379","Queens","405","30","4091342","4037700026","QN21","2001","619","40.71284","-73.878176"
"0988735-DCA","2323 DEVELOPMENT CORP.","J. T. C. ASSOCIATES","BA-1121283-2022","Home Improvement Contractor","Premises","Active","06/24/1998","02/28/2027",,"(718) 857-2900","Complete Address","694","SACKETT STREET",,,,,"BROOKLYN","NY","11217","Brooklyn","306","39","3019692","3009520016","BK37","4001","131","40.67761","-73.981527"
"2091164-DCA","99 PARK AVENUE PARKING CORP",,"BA-1127336-2022","Garage & Parking Lot","Premises","Active","10/04/2019","03/31/2027","Vehicle Capacity: 75; Bicycle Capacity: 8","2127367171","Complete Address","99","PARK AVENUE",,,,,"NEW YORK","NY","10016","Manhattan","106","4","1019460","1008950001","MN20","2002","80","40.75074","-73.978666"
"1389475-DCA","PAWNIT NOW CORP.",,"BA-1462508-2022","Secondhand Dealer - General","Premises","Active","04/27/2011","07/31/2027",,"(347) 203-4777","Complete Address","1205","JEROME AVE",,,,,"BRONX","NY","10452","Bronx","204","16","2003083","2025060062","BX26","1000","199","40.83598","-73.922577"
"2130075-DCWP","JIREH TIRE GEN. 22:14 LLC",,"BA-1735187-2025","Secondhand Dealer - General","Premises","Active","07/22/2025","07/31/2027",,"6462500075","Complete Address","411","E 135TH ST",,,,,"BRONX","NY","10454","Bronx","201","8","2000215","2022800075","BX39","5002","25","40.80699","-73.923803"
"1164784-DCA","RAUL MATOS",,"BA-1547857-2022","Locksmith","Individual","Active","04/19/2004","05/31/2027",,,,,,,,,,"NEW YORK","NY","10019",,,,,,,,,,
"2038075-DCA","LEO GOODMAN",,"BA-1337660-2022","Sightseeing Guide","Individual","Active","05/24/2016","03/31/2026",,,,,,,,,,"Queens","NY","11102",,,,,,,,,,
"2071477-DCA","Gevorina, Inc",,"BA-1338234-2022","Dealer In Products For The Disabled","Premises","Expired","05/18/2018","03/15/2023",,"5168069134","Complete Address","99","HILLSIDE AVE",,,,,"WILLISTON PARK","NY","11596","Outside NYC",,,,,,,,,
"2070271-DCA","Kehoe Financial Group, LLC.",,"BA-1571765-2023","Debt Collection Agency","Premises","Active","05/01/2018","01/31/2027",,"2019577814","Complete Address","463","LIVINGSTON ST",,,"STE","102-154","NORWOOD","NJ","076481344",,,,,,,,,,
"2026979-DCA","NYC HIGH SKILLED BUILDER INC.","NYC High Skilled Builder","BA-1397117-2022","Home Improvement Contractor","Premises","Expired","08/12/2015","02/28/2025",,"3479352237","Complete Address","349","WEST 54 STREET",,,"BLDG","GROUND","NEW YORK","NY","10019","Manhattan","104","3","1025407","1010450009","MN15","4000","139","40.76539","-73.985676"
"2102448-DCA","Lee Winters",,"BA-1338624-2022","Sightseeing Guide","Individual","Active","11/04/2021","03/31/2026",,,,,,,,,,"ASTORIA","NY","11102",,,,,,,,,,
"1225497-DCA","ISAO NOBUHARA",,"BA-1339110-2022","Sightseeing Guide","Individual","Active","05/02/2006","03/31/2026",,,,,,,,,,"ASTORIA","NY","11102",,,,,,,,,,
"1192362-DCA","June Murakami",,"BA-1339127-2022","Sightseeing Guide","Individual","Active","04/01/2005","03/31/2026",,,,,,,,,,"LARCHMONT","NY","10538",,,,,,,,,,
"2078003-DCA","Ras 1 Inc",,"BA-1486030-2022","Stoop Line Stand","Premises","Active","09/10/2018","03/31/2026","Product Category: Fruits, Vegetables, Flowers, Soft Drinks, Confectionary and Ice Cream; 4 foot stands: 5; 5 foot stands: 0; 5-10 foot stands: 0","2128770837","Complete Address","281","COLUMBUS AVENUE",,,,,"NEW YORK","NY","10023","Manhattan","107","6","1028649","1011260001","MN14","1000","157","40.77823","-73.978181"
"0991650-DCA","CAC FINANCIAL CORP.",,"BA-1133924-2022","Debt Collection Agency","Premises","Active","07/31/1998","01/31/2027",,"4054251500","Complete Address","2601","NW EXPRESSWAY",,,"STE","1000E","OKLAHOMA CITY","OK","73112",,,,,,,,,,
"1409754-DCA","HASANOV, JEYHUN",,"BA-1320817-2022","Pedicab Business","Premises","Ready for Renewal","09/12/2012","11/01/2025",,"6466730954","Complete Address","6803","KENNEDY BLVD",,,"APT","92","WEST NEW YORK","NJ","07093","Outside NYC",,,,,,,,,
"2125163-DCWP","HOYT CHEMISTS INC.",,"BA-1713383-2024","Dealer In Products For The Disabled","Premises","Active","11/06/2024","03/15/2027",,"(347) 305-6445","Complete Address","216","HOYT ST",,,,,"BROOKLYN","NY","11217","Brooklyn","306","39","3341589","3004030033","BK38","2001","69","40.68374","-73.989717"
"1457640-DCA","MAGIC RENOVATION CORP","MAGIC RENOVATION CORP","BA-1437821-2022","Home Improvement Contractor","Premises","Active","02/19/2013","02/28/2027",,"3475154512","Complete Address","6047","75TH ST",,,,,"MIDDLE VILLAGE","NY","11379","Queens","405","30","4064423","4028450091","QN21","1003","669","40.72358","-73.885765"
"0784835-DCA","ARGO BOAT MFG. CO., INC.","NEW BOATS & MOTORS","BA-1112003-2022","Secondhand Dealer - General","Premises","Expired","10/24/2003","07/31/2023",,"7185279870","Complete Address","25102","ROCKAWAY BLVD",,,,,"ROSEDALE","NY","11422","Queens","413","31","4448961","4139210063","QN05","1006","664","40.63703","-73.740667"
"2104975-DCA","NY STANDARD CONTRACTING SERVICES INC.",,"BA-1469276-2022","Home Improvement Contractor","Premises","Expired","04/04/2022","02/28/2023",,"9178090626","Complete Address","1513","HARDING PARK",,,,,"BRONX","NY","10473","Bronx","209","18","2020146","2034530067","BX09","3001","2","40.81050","-73.857572"
"2073036-1-DCA","LITTLE NECK FOODS INC.","7-11","BA-1285363-2022","Electronic Cigarette Dealer","Premises","Expired","06/11/2018","11/30/2023",,"718-831-5439","Complete Address","25302","UNION TPKE",,,,,"GLEN OAKS","NY","11004","Queens","413","23","4540089","4086900063","QN44","1011","157902","40.74412","-73.717435"
"2119490-DCWP","SERVICING SOLUTIONS, LLC",,"BA-1546917-2022","Debt Collection Agency","Premises","Surrendered","03/04/2024","01/31/2025",,"9497524662","Complete Address","3660","REGENT BLVD",,,"STE","200","IRVING","TX","75063",,,,,,,,,,
"1467532-DCA","JOSEPH BERGQUIST",,"BA-1344222-2022","Sightseeing Guide","Individual","Active","06/18/2013","03/31/2026",,,,,,,,,,"NEW YORK","NY","10036",,,,,,,,,,
"1447171-DCA","BLACK DIAMOND DEVELOPMENT LLC",,"BA-1124774-2022","Home Improvement Contractor","Premises","Active","10/03/2012","02/28/2027",,"5162565320","Complete Address","6016","CATALPA AVE",,,,,"RIDGEWOOD","NY","11385","Queens","405","30","4084329","4035150008","QN20","2000","583","40.70307","-73.898816"
"2056493-DCA","AUTO CENTER COLLISION, INC.",,"BA-1113819-2022","Secondhand Dealer - General","Premises","Expired","08/01/2017","07/31/2023",,"7189378787","Complete Address","3549","STEINWAY ST",,,,,"LONG IS CITY","NY","11101","Queens","401","26","4010877","4006690003","QN70","1004","157","40.75437","-73.922730"
"2100356-DCA","BUDH DESIGN INC",,"BA-1220675-2022","Home Improvement Contractor","Premises","Expired","07/23/2021","02/28/2023",,"3476965512","Complete Address","236","ECKFORD ST",,,"APT","1L","BROOKLYN","NY","11222","Brooklyn","301","33","3065747","3026220052","BK76","2002","573","40.72719","-73.950694"
"2110948-DCA","JOSEPH WALKER",,"BA-1346468-2022","Process Server Individual","Individual","Expired","02/08/2023","02/28/2024",,,,,,,,,,"ROOSEVELT","NY","11575",,,,,,,,,,
"1068862-DCA","KO, KYUN JOOK","HEBERTON DELI","BA-1284474-2022","Tobacco Retail Dealer","Premises","Surrendered","01/02/2001","12/31/2024",,"718-442-7906","Complete Address","341","HEBERTON AVE",,,,,"STATEN ISLAND","NY","10302","Staten Island","501","49","5024226","5010330024","SI28","1003","213","40.63264","-74.134147"
"1220287-DCA","LUCAS E MILLER",,"BA-1346486-2022","Sightseeing Guide","Individual","Active","03/03/2006","03/31/2026",,,,,,,,,,"NEW YORK","NY","10002",,,,,,,,,,
"2083733-DCA","JESSICA NELSON",,"BA-1346521-2022","Sightseeing Guide","Individual","Active","03/27/2019","03/31/2026",,,,,,,,,,"NEW YORK","NY","10065",,,,,,,,,,
"2110233-DCA","SKAB ELECTRONICS,LLC",,"BA-1575563-2023","Secondhand Dealer - General","Premises","Active","12/13/2022","07/31/2027",,"2127744115","Complete Address","2064","FLATBUSH AVE",,,,,"BROOKLYN","NY","11234","Brooklyn","318","46","3219563","3078660041","BK58","1003","650","40.61945","-73.933422"
"2110015-DCA","MALLET MANUFACTURING INC.","STAIR BUILDERS","BA-1455424-2022","Home Improvement Contractor","Premises","Active","11/29/2022","02/28/2027",,"5164812295","Complete Address","112","TAFT AVE",,,,,"HEMPSTEAD","NY","11550","Outside NYC",,,,,,,,,
"2065627-DCA","CDN GLOBAL CORP",,"BA-1208669-2022","Home Improvement Contractor","Premises","Active","02/02/2018","02/28/2027",,"9176609559","Complete Address","1802","OCEAN PKWY",,,"APT","C15","BROOKLYN","NY","11223","Brooklyn","315","44","3178659","3066810415","BK25","1001","41402","40.60445","-73.966742"
"2078170-DCA","UNITED RESTORATION GROUP LLC",,"BA-1582689-2023","Home Improvement Contractor","Premises","Active","09/14/2018","02/28/2027",,"7185004620","Complete Address","50","INDIAN WELLS RD",,,,,"BREWSTER","NY","10509","Outside NYC",,,,,,,,"41.42707","-73.552488"
"0827240-DCA","CHERYL B HANDLIN",,"BA-1274275-2022","Process Server Individual","Individual","Active","03/02/2004","02/28/2026",,,,,,,,,,"MELVILLE","NY","11747",,,,,,,,,,
"0825733-DCA","MICHAEL KOENIG",,"BA-1352729-2022","Sightseeing Guide","Individual","Active","05/22/1996","03/31/2026",,,,,,,,,,"MIDDLE VILLAGE","NY","11379",,,,,,,,,,
